benchmark,0.72,-3.04,0.439831105,-0.64809774,-0.352611066,0.406935598,-0.299555947,-1.025100706,-0.571428571,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/12/2022,9/13/2022,9/14/2022,9/15/2022,9/16/2022,9/19/2022,9/20/2022,9/21/2022,9/22/2022,9/26/2022,9/27/2022,9/28/2022,9/29/2022,9/30/2022,10/3/2022,10/4/2022,10/5/2022,10/6/2022,10/7/2022,10/11/2022,10/12/2022,10/13/2022,10/14/2022,10/17/2022,10/18/2022,10/19/2022,10/20/2022,10/21/2022,10/25/2022,10/26/2022,10/28/2022,10/31/2022,11/1/2022,11/2/2022,11/3/2022,11/4/2022,11/8/2022,11/9/2022,11/10/2022,11/14/2022,11/15/2022,11/16/2022,11/17/2022,11/18/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022,11/28/2022,11/29/2022,11/30/2022,12/1/2022,12/2/2022,12/5/2022,12/6/2022,12/7/2022,12/8/2022,12/9/2022,12/12/2022,12/13/2022,12/14/2022,12/15/2022,12/16/2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capital,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vader,10000,9903.276903,9898.087626,9697.371854,9826.143977,10001.23387,9934.235147,9934.235147,9915.088589,9856.097215,9877.433618,9990.407799,10109.41739,10128.37615,10128.37615,10132.8799,10142.87923,10019.59575,9971.833022,9971.833022,9986.4057,9986.4057,9931.751689,9776.414979,9653.50177,9537.532588,9537.532588,9742.37038,9741.850163,9759.856662,9759.856662,9768.901233,9787.490342,9728.118127,9672.402566,9672.402566,9983.836343,10197.35309,10020.59348,9999.892638,9842.167351,9842.167351,9785.117271,9838.776712,9992.731406,9882.005903,9865.526859,9857.513384,9824.973448,9887.319889,10082.70141,10360.65249,10367.14056,10551.86503,10486.90296,10373.97615,10536.04193,10401.03315,10197.24437,10136.34019,10163.3915,10202.11968,9996.837902,9928.327033,,,,,
flair,10000,9907.564646,9797.135283,9637.384761,9664.558042,9664.558042,9619.589767,9619.589767,9591.160799,9335.987502,9252.064744,9355.680502,9382.695565,9513.599312,9513.599312,9471.726302,9471.726302,9593.309326,9546.022335,9526.226832,9501.436771,9948.556322,9834.881499,9661.224228,9531.071473,9475.326758,9384.469457,9422.098626,9398.553117,9397.232767,9473.459139,9471.215633,9319.295,9297.038342,9297.038342,9297.038342,9476.813372,9114.735215,8848.444669,8848.444669,8647.907823,8601.847719,8601.847719,8613.858369,8631.583371,8582.358459,8582.358459,8625.312158,8662.586025,8449.450241,8449.450241,8713.589379,8841.564592,8946.299902,8868.987147,8575.38751,8522.838595,8434.688996,8301.821197,8246.230389,8246.230389,8212.50737,8124.244152,8126.404183,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZSP (S&P Benchmark),10000,9833.910205,9877.162801,9813.149132,9778.546882,9818.33927,9788.927851,9688.581483,9633.21816,9543.25276,9544.982518,9520.761237,9600.346533,9449.82698,9387.543069,9498.270407,9697.231829,9747.405013,9759.51574,9480.968849,9378.892723,9368.512619,9565.744283,9434.256046,9570.934422,9683.391344,9645.328887,9574.394629,9705.882175,9875.433043,9948.097058,9847.750689,9792.387367,10060.55415,10003.46038,9967.128373,9769.896536,9693.771621,9643.599129,9742.214874,9750.865394,9624.567814,9996.539792,10041.52284,9998.270242,10057.09377,10017.30156,9987.889446,10074.39464,10088.23564,10159.1699,10202.42249,10198.96229,10422.14586,10167.82025,10205.88288,10408.30468,10397.92371,10411.76489,10333.91021,10226.64395,10204.15243,10228.37371,10198.96229,10321.79949,10352.94136,10292.38807,10112.4571,10022.49152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/12/2022,9/13/2022,9/14/2022,9/15/2022,9/16/2022,9/19/2022,9/20/2022,9/21/2022,9/22/2022,9/23/2022,9/26/2022,9/27/2022,9/28/2022,9/29/2022,9/30/2022,10/3/2022,10/4/2022,10/5/2022,10/6/2022,10/7/2022,10/11/2022,10/12/2022,10/13/2022,10/14/2022,10/17/2022,10/18/2022,10/19/2022,10/20/2022,10/21/2022,10/24/2022,10/25/2022,10/26/2022,10/27/2022,10/28/2022,10/31/2022,11/1/2022,11/2/2022,11/3/2022,11/4/2022,11/7/2022,11/8/2022,11/9/2022,11/10/2022,11/11/2022,11/14/2022,11/15/2022,11/16/2022,11/17/2022,11/18/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022,11/28/2022,11/29/2022,11/30/2022,12/1/2022,12/2/2022,12/5/2022,12/6/2022,12/7/2022,12/8/2022,12/9/2022,12/12/2022,12/13/2022,12/14/2022,12/15/2022,12/16/2022
