,ticker_search,ticker,company
36,CAE,CAE.TO,CAE INC
37,CCO,CCO.TO,CAMECO CORP
38,CF,CF.TO,CANACCORD GENUITY GROUP INC
39,GOOS,GOOS.TO,CANADA GOOSE HOLDINGS INC
40,CAR-UN,CAR-UN.TO,CDN APARTMENT UN
41,CM,CM.TO,CANADIAN IMPERIAL BANK OF COMME
42,CNR,CNR.TO,CANADIAN NATIONAL RAILWAY CO.
43,CNQ,CNQ.TO,CDN NATURAL RES
44,CP,CP.TO,CANADIAN PACIFIC RAILWAY LIMITE
45,CTC-A,CTC-A.TO,"CANADIAN TIRE CORPORATION, CL. "
46,CU,CU.TO,"CANADIAN UTILITIES LTD., CL.A, "
47,CWB,CWB.TO,CDN WESTERN BANK
48,CFP,CFP.TO,CANFOR CORP
49,WEED,WEED.TO,CANOPY GROWTH CORPORATION
50,CPX,CPX.TO,CAPITAL POWER CORPORATION
51,CS,CS.TO,CAPSTONE COPPER CORP
52,CJT,CJT.TO,CARGOJET INC.
53,CAS,CAS.TO,CASCADES INC
54,CCL-B,CCL-B.TO,"CCL INDUSTRIES INC., CL. B, NV"
55,CLS,CLS.TO,"CELESTICA INC., SV"
56,CVE,CVE.TO,CENOVUS ENERGY INC.
57,CG,CG.TO,CENTERRA GOLD INC.
58,GIB-A,GIB-A.TO,CGI INC
59,CSH-UN,CSH-UN.TO,CHARTWELL RETIREMENT RESIDENCES
60,CHP-UN,CHP-UN.TO,CHOICE PROPERTIES REIT
61,CIX,CIX.TO,CI FINANCIAL CORP.
62,CCA,CCA.TO,COGECO COMMUNICATIONS INC
63,CIGI,CIGI.TO,COLLIERS INTERNATIONAL GROUP IN
65,CSU,CSU.TO,CONSTELLATION SOFTWARE INC.
66,CTS,CTS.TO,CONVERGE TECHNOLOGY SOLUTIONS C
67,CJR-B,CJR-B.TO,"CORUS ENTERTAINMENT INC., CL.B,"
68,CPG,CPG.TO,CRESCENT POINT ENERGY CORP.
69,CRR-UN,CRR-UN.TO,CROMBIE REAL ESTATE INVESTMENT 
70,CRON,CRON.TO,CRONOS GROUP INC
71,CRT-UN,CRT-UN.TO,CT REAL ESTATE INVESTMENT TRUST
72,DML,DML.TO,DENISON MINES CORP.
73,DSG,DSG.TO,DESCARTES SYS
74,DCBO,DCBO.TO,DOCEBO INC
75,DOL,DOL.TO,DOLLARAMA INC
76,DIR-UN,DIR-UN.TO,DREAM INDUSTRIAL REIT
77,D-UN,D-UN.TO,DREAM OFFICE REIT
78,DPM,DPM.TO,DUNDEE PRECIOUS METALS INC.
79,DND,DND.TO,DYE AND DURHAM LIMITED
80,ECN,ECN.TO,ECN CAPITAL CORP
81,ELD,ELD.TO,ELDORADO GOLD CORPORATION
82,EFN,EFN.TO,ELEMENT FLEET MANAGEMENT CORP
83,EMA,EMA.TO,EMERA INCORPORATED
84,EMP-A,EMP-A.TO,EMPIRE COMPANY LIMITED
85,ENB,ENB.TO,ENBRIDGE INC
86,EDR,EDR.TO,ENDEAVOUR SILVER CORP.
87,ERF,ERF.TO,ENERPLUS CORPORATION
88,ENGH,ENGH.TO,ENGHOUSE SYSTEMS LIMITED
89,EQX,EQX.TO,EQUINOX GOLD CORP
90,EQB,EQB.TO,EQUITABLE GROUP INC
91,ERO,ERO.TO,ERO COPPER CORP
92,EIF,EIF.TO,EXCHANGE INCOME CORPORATION
93,FFH,FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.
94,FTT,FTT.TO,FINNING INTL
95,FCR-UN,FCR-UN.TO,FIRST CAPITAL REIT UNITS
96,FR,FR.TO,FIRST MAJESTIC SILVER CORP. COM
97,FM,FM.TO,FIRST QUANTUM MINERALS LTD
98,FSV,FSV.TO,FIRSTSERVICE CORPORATION
99,FTS,FTS.TO,FORTIS INC
100,FVI,FVI.TO,FORTUNA SILVER MINES INC
101,FNV,FNV.TO,FRANCO-NEVADA CORPORATION
102,WN,WN.TO,WESTON GEORGE
103,GFL,GFL.TO,GFL ENVIRONMENTAL INC
104,GEI,GEI.TO,GIBSON ENERGY INC
105,GIL,GIL.TO,GILDAN ACTIVEWEAR INC.
106,GSY,GSY.TO,GOEASY LTD
107,GRT-UN,GRT-UN.TO,GRANITE REAL ESTATE INVESTMENT 
108,GWO,GWO.TO,GREAT-WEST LIFECO INC
109,HR-UN,HR-UN.TO,HR REAL ESTATE INV TRUST
110,HCG,HCG.TO,HOME CAPITAL GROUP INC.
111,HBM,HBM.TO,HUDBAY MINERALS INC.
112,H,H.TO,HYDRO ONE LIMITED
113,IAG,IAG.TO,IA FINANCIAL CORPORATION
115,IGM,IGM.TO,IGM FINANCIAL INC.
117,INE,INE.TO,INNERGEX RENEWABLE ENERGY INC.
119,IPL,IPL.TO,INTER PIPELINE LTD
120,IFP,IFP.TO,INTERFOR CORPORATION
121,IIP-UN,IIP-UN.TO,INTERRENT REAL ESTATE INVESTMEN
132,LB,LB.TO,LAURENTIAN BANK
133,LWRK,LWRK.TO,LIFEWORKS INC
134,LSPD,LSPD.TO,LIGHTSPEED COMMERCE INC
135,LNR,LNR.TO,LINAMAR CORP
136,LAC,LAC.TO,LITHIUM AMERICAS CORP
140,MG,MG.TO,MAGNA INTERNATIONAL INC
141,MFC,MFC.TO,MANULIFE FIN
142,MFI,MFI.TO,MAPLE LEAF FOODS
143,MRE,MRE.TO,MARTINREA INTERNATIONAL INC.
144,MEG,MEG.TO,MEG ENERGY CORP.
146,MRU,MRU.TO,METRO INC
147,MTY,MTY.TO,MTY FOOD GROUP INC
148,MTL,MTL.TO,MULLEN GROUP LTD.
149,NXE,NXE.TO,NEXGEN ENERGY LTD
150,NFI,NFI.TO,NFI GROUP INC
151,NPI,NPI.TO,NORTHLAND POWER INC.
152,NWH-UN,NWH-UN.TO,NORTHWEST HEALTHCARE PROP REIT
153,NG,NG.TO,NOVAGOLD RES INC.
154,NTR,NTR.TO,NUTRIEN LTD
155,NVEI,NVEI.TO,NUVEI CORPORATION
158,OTEX,OTEX.TO,OPEN TEXT CORPORATION
159,OGI,OGI.TO,ORGANIGRAM HOLDINGS INC
160,OR,OR.TO,OSISKO GOLD ROYALTIES LTD
161,OSK,OSK.TO,OSISKO MINING INC
162,PAAS,PAAS.TO,PAN AMERICAN SILVER CORP
163,PXT,PXT.TO,PAREX RESOURCES INC
164,PKI,PKI.TO,PARKLAND CORPORATION
165,PPL,PPL.TO,PEMBINA PIPELINE CORPORATION
166,POW,POW.TO,"POWER CORPORATION OF CANADA, SV"
167,PSK,PSK.TO,PRAIRIESKY ROYALTY LTD
168,PBH,PBH.TO,PREMIUM BRANDS HOLDINGS CORPORA
174,RCH,RCH.TO,RICHELIEU HARDWARE LTD
175,REI-UN,REI-UN.TO,RIOCAN REAL EST UN
177,RCI-B,RCI-B.TO,"ROGERS COMMUNICATIONS INC., CL."
178,RY,RY.TO,ROYAL BANK OF CANADA
181,SAP,SAP.TO,SAPUTO INC.
184,SHOP,SHOP.TO,SHOPIFY INC
186,SVM,SVM.TO,SILVERCORP METALS INC.
187,SIL,SIL.TO,SILVERCREST METALS INC
188,ZZZ,ZZZ.TO,SLEEP COUNTRY CANADA HOLDINGS I
189,SRU-UN,SRU-UN.TO,SMARTCENTRES REIT
190,SNC,SNC.TO,SNC-LAVALIN SV
191,TOY,TOY.TO,SPIN MASTER CORP
192,SII,SII.TO,SPROTT INC.
193,SSRM,SSRM.TO,SSR MINING INC
195,STLC,STLC.TO,STELCO HOLDINGS INC
196,SJ,SJ.TO,STELLA JONES INC
197,SMU-UN,SMU-UN.TO,SUMMIT INDUSTRIAL INCOME REIT
198,SLF,SLF.TO,SUN LIFE FINANCIAL INC.
199,SU,SU.TO,SUNCOR ENERGY INC.
200,SOY,SOY.TO,"SUNOPTA, INC."
201,SPB,SPB.TO,SUPERIOR PLUS CORP.
202,TRP,TRP.TO,TC ENERGY CORP.
203,TECK-B,TECK-B.TO,TECK RESOURCES LIMITED CL B
204,T,T.TO,TELUS CORPORATION
205,TIXT,TIXT.TO,TELUS INTERNATIONAL CDA INC
206,TFII,TFII.TO,TFI INTERNATIONAL INC
207,NWC,NWC.TO,THE NORTH WEST COMPANY INC
209,TLRY,TLRY.TO,TILRAY BRANDS INC
210,X,X.TO,TMX GROUP LIMITED
211,TXG,TXG.TO,TOREX GOLD RESOURCES INC
212,TIH,TIH.TO,TOROMONT IND
213,TD,TD.TO,TORONTO-DOMINION BANK
214,TOU,TOU.TO,TOURMALINE OIL CORP
215,TA,TA.TO,TRANSALTA CORPORATION
216,RNW,RNW.TO,TRANSALTA RENEWABLES INC
217,TCL-A,TCL-A.TO,"TRANSCONTINENTAL INC., CL A SV"
218,TCN,TCN.TO,TRICON RESIDENTIAL INC
219,TSU,TSU.TO,TRISURA GROUP LTD
220,TRQ,TRQ.TO,TURQUOISE HILL RESOURCES LTD
221,VET,VET.TO,VERMILION ENERGY INC
223,WCN,WCN.TO,WASTE CONNECTIONS INC
224,WELL,WELL.TO,WELL HEALTH TECHNOLOGIES CORP
225,WDO,WDO.TO,WESDOME GOLD MINES LTD.
226,WFG,WFG.TO,WEST FRASER TIMBER CO LTD
227,WPRT,WPRT.TO,WESTPORT FUEL SYSTEMS INC
228,WTE,WTE.TO,WESTSHORE TERMINALS INVESTMENT 
229,WPM,WPM.TO,WHEATON PRECIOUS METALS CORP
230,WCP,WCP.TO,WHITECAP RESOURCES INC
231,WPK,WPK.TO,WINPAK LTD
233,WSP,WSP.TO,WSP GLOBAL INC
234,YRI,YRI.TO,YAMANA GOLD INC
