,ticker_search,ticker,pos_rev
180,SSL,SSL.TO,0
181,SAP,SAP.TO,0
182,SEA,SEA.TO,0
183,SJR-B,SJR-B.TO,0
184,SHOP,SHOP.TO,0
185,SIA,SIA.TO,0
186,SVM,SVM.TO,0
187,SIL,SIL.TO,0
188,ZZZ,ZZZ.TO,0
189,SRU-UN,SRU-UN.TO,0
190,SNC,SNC.TO,0
191,TOY,TOY.TO,0
192,SII,SII.TO,0
193,SSRM,SSRM.TO,0
194,STN,STN.TO,0
195,STLC,STLC.TO,0
196,SJ,SJ.TO,0
197,SMU-UN,SMU-UN.TO,0
198,SLF,SLF.TO,0
199,SU,SU.TO,0
200,SOY,SOY.TO,0
201,SPB,SPB.TO,0
202,TRP,TRP.TO,0
203,TECK-B,TECK-B.TO,0
204,T,T.TO,0
205,TIXT,TIXT.TO,0
206,TFII,TFII.TO,0
207,NWC,NWC.TO,0
208,TRI,TRI.TO,0
209,TLRY,TLRY.TO,0
210,X,X.TO,0
211,TXG,TXG.TO,0
212,TIH,TIH.TO,0
213,TD,TD.TO,0
214,TOU,TOU.TO,0
215,TA,TA.TO,0
216,RNW,RNW.TO,0
217,TCL-A,TCL-A.TO,0
218,TCN,TCN.TO,0
219,TSU,TSU.TO,0
220,TRQ,TRQ.TO,0
221,VET,VET.TO,0
222,VFF,VFF.TO,0
223,WCN,WCN.TO,0
224,WELL,WELL.TO,0
225,WDO,WDO.TO,0
226,WFG,WFG.TO,0
227,WPRT,WPRT.TO,0
228,WTE,WTE.TO,0
229,WPM,WPM.TO,0
230,WCP,WCP.TO,0
231,WPK,WPK.TO,0
232,WIR-UN,WIR-UN.TO,0
233,WSP,WSP.TO,0
234,YRI,YRI.TO,0
