Datetime,Open,High,Low,Close,Adj Close,Volume,RSI,buy,sell,capital
2022-02-17 09:30:00,913.260009765625,915.0,910.010009765625,913.3200073242188,913.3200073242188,609791,,,,1000.0
2022-02-17 09:32:00,912.8499755859375,914.5800170898438,908.7000122070312,913.8665771484375,913.8665771484375,147946,,,,1000.0
2022-02-17 09:34:00,913.8350219726562,918.0,911.6799926757812,914.8599853515625,914.8599853515625,234169,,,,1000.0
2022-02-17 09:36:00,915.0,916.5999755859375,914.1900024414062,915.7557983398438,915.7557983398438,114855,,,,1000.0
2022-02-17 09:38:00,915.22998046875,915.5850219726562,913.760009765625,915.5798950195312,915.5798950195312,108630,,,,1000.0
2022-02-17 09:40:00,914.6801147460938,916.25,914.4700927734375,915.0900268554688,915.0900268554688,104623,,,,1000.0
2022-02-17 09:42:00,914.5599975585938,918.4998779296875,914.2000122070312,917.2899780273438,917.2899780273438,146745,,,,1000.0
2022-02-17 09:44:00,917.5560302734375,918.4249877929688,914.6699829101562,914.77001953125,914.77001953125,191102,,,,1000.0
2022-02-17 09:46:00,914.5599975585938,914.7698974609375,909.5100708007812,911.1859741210938,911.1859741210938,217695,,,,1000.0
2022-02-17 09:48:00,911.0,911.6298828125,908.3599853515625,910.1090698242188,910.1090698242188,111241,,,,1000.0
2022-02-17 09:50:00,910.080078125,910.7374267578125,907.0,907.0,907.0,135423,,,,1000.0
2022-02-17 09:52:00,907.0999755859375,907.760009765625,905.2993774414062,906.2750244140625,906.2750244140625,131601,,,,1000.0
2022-02-17 09:54:00,906.5546875,909.3499755859375,906.3927001953125,908.9299926757812,908.9299926757812,109844,,,,1000.0
2022-02-17 09:56:00,909.2111206054688,909.419921875,907.1599731445312,908.869873046875,908.869873046875,71634,,,,1000.0
2022-02-17 09:58:00,908.9000244140625,909.0,906.6610107421875,907.698974609375,907.698974609375,67764,49.83827209299172,,,1000.0
2022-02-17 10:00:00,907.6900024414062,908.739990234375,905.6199951171875,908.340087890625,908.340087890625,106918,54.027929294465864,,,1000.0
2022-02-17 10:02:00,908.4550170898438,909.5,907.0300903320312,908.380126953125,908.380126953125,86350,52.692793649018846,,,1000.0
