Datetime,Open,High,Low,Close,Adj Close,Volume,vwap
2022-02-03 09:30:00-05:00,882.0,893.409912109375,880.52001953125,891.5,891.5,1179247,888.4766438802084
2022-02-03 09:32:00-05:00,891.649169921875,897.9598999023438,891.27001953125,896.02001953125,896.02001953125,294468,889.7967448759342
2022-02-03 09:34:00-05:00,896.4550170898438,898.4299926757812,889.2999877929688,897.8892211914062,897.8892211914062,313969,890.7468368292065
2022-02-03 09:36:00-05:00,898.027099609375,900.5,894.6199951171875,895.0,895.0,289369,891.577142810449
2022-02-03 09:38:00-05:00,895.3131103515625,898.489990234375,893.76171875,895.217529296875,895.217529296875,147810,891.8592239504135
2022-02-03 09:40:00-05:00,895.02001953125,897.0,892.7999877929688,893.8300170898438,893.8300170898438,158860,892.0381029036861
2022-02-03 09:42:00-05:00,894.1500244140625,902.8200073242188,893.9299926757812,902.5313110351562,902.5313110351562,213991,892.6742429861247
2022-02-03 09:44:00-05:00,902.489990234375,904.0,897.010009765625,898.6300048828125,898.6300048828125,210306,893.2139168351162
2022-02-03 09:46:00-05:00,898.3599853515625,899.8839111328125,893.530029296875,896.0700073242188,896.0700073242188,184075,893.4157489358714
2022-02-03 09:48:00-05:00,896.3198852539062,896.639892578125,893.2000122070312,894.3300170898438,894.3300170898438,134021,893.4718058059308
2022-02-03 09:50:00-05:00,894.3599853515625,897.7999877929688,893.22998046875,897.7999267578125,897.7999267578125,159466,893.607938266404
2022-02-03 09:52:00-05:00,897.7899780273438,901.7999877929688,897.0900268554688,898.1749877929688,898.1749877929688,196849,893.9139564422298
2022-02-03 09:54:00-05:00,898.0499877929688,898.185791015625,893.3599853515625,896.8300170898438,896.8300170898438,175950,894.0203094028002
2022-02-03 09:56:00-05:00,896.5100708007812,900.7999877929688,895.75,898.6599731445312,898.6599731445312,180996,894.2269334052392
2022-02-03 09:58:00-05:00,899.5,899.8298950195312,896.7501220703125,897.25,897.25,73460,894.296705582611
2022-02-03 10:00:00-05:00,897.4349975585938,898.4998779296875,894.2000732421875,895.0,895.0,116120,894.3429142310957
2022-02-03 10:02:00-05:00,894.8300170898438,901.5,894.7000122070312,899.7999877929688,899.7999877929688,180132,894.5279533627759
2022-02-03 10:04:00-05:00,899.9650268554688,907.5999755859375,899.580078125,907.2750244140625,907.2750244140625,339851,895.2967489005628
2022-02-03 10:06:00-05:00,906.9500122070312,909.39990234375,905.1199951171875,908.5277709960938,908.5277709960938,220522,895.8694220839905
2022-02-03 10:08:00-05:00,908.8300170898438,911.4998779296875,906.9500122070312,911.4998779296875,911.4998779296875,245993,896.5616632369758
2022-02-03 10:10:00-05:00,911.27001953125,911.7000122070312,908.27001953125,909.25,909.25,144890,896.931679339862
2022-02-03 10:12:00-05:00,909.7050170898438,912.9998779296875,909.0,909.739990234375,909.739990234375,193752,897.4255779207152
